UNIPROT_ID	Name	Species
APOC2_HUMAN	apolipoprotein C2(APOC2)	Homo sapiens
MAOM_HUMAN	malic enzyme 2(ME2)	Homo sapiens
CDKL2_HUMAN	cyclin dependent kinase like 2(CDKL2)	Homo sapiens
APC_HUMAN	APC, WNT signaling pathway regulator(APC)	Homo sapiens
NALP4_HUMAN	NLR family pyrin domain containing 4(NLRP4)	Homo sapiens
ZN830_HUMAN	zinc finger protein 830(ZNF830)	Homo sapiens
SAMP_HUMAN	amyloid P component, serum(APCS)	Homo sapiens
SPT16_HUMAN	spermatogenesis associated 16(SPATA16)	Homo sapiens
SLN11_HUMAN	schlafen family member 11(SLFN11)	Homo sapiens
TTC29_HUMAN	tetratricopeptide repeat domain 29(TTC29)	Homo sapiens
MEF2D_HUMAN	myocyte enhancer factor 2D(MEF2D)	Homo sapiens
PGRP1_HUMAN	peptidoglycan recognition protein 1(PGLYRP1)	Homo sapiens
HASP_HUMAN	germ cell associated 2, haspin(GSG2)	Homo sapiens
BIRC2_HUMAN	baculoviral IAP repeat containing 2(BIRC2)	Homo sapiens
CRCM_HUMAN	mutated in colorectal cancers(MCC)	Homo sapiens
MUC18_HUMAN	melanoma cell adhesion molecule(MCAM)	Homo sapiens
MYEOV_HUMAN	myeloma overexpressed(MYEOV)	Homo sapiens
MCM3_HUMAN	minichromosome maintenance complex component 3(MCM3)	Homo sapiens
NEXN_HUMAN	nexilin F-actin binding protein(NEXN)	Homo sapiens
ZN420_HUMAN	zinc finger protein 420(ZNF420)	Homo sapiens
MCM5_HUMAN	minichromosome maintenance complex component 5(MCM5)	Homo sapiens
ANR31_HUMAN	ankyrin repeat domain 31(ANKRD31)	Homo sapiens
MCM2_HUMAN	minichromosome maintenance complex component 2(MCM2)	Homo sapiens
CKAP2_HUMAN	cytoskeleton associated protein 2(CKAP2)	Homo sapiens
MCL1_HUMAN	BCL2 family apoptosis regulator(MCL1)	Homo sapiens
KS6A4_HUMAN	ribosomal protein S6 kinase A4(RPS6KA4)	Homo sapiens
PLCD3_HUMAN	phospholipase C delta 3(PLCD3)	Homo sapiens
TNR6_HUMAN	Fas cell surface death receptor(FAS)	Homo sapiens
MDHC_HUMAN	malate dehydrogenase 1(MDH1)	Homo sapiens
DCBD1_HUMAN	discoidin, CUB and LCCL domain containing 1(DCBLD1)	Homo sapiens
TDR12_HUMAN	tudor domain containing 12(TDRD12)	Homo sapiens
ARSA_HUMAN	arylsulfatase A(ARSA)	Homo sapiens
A1ATR_HUMAN	serpin family A member 2 (gene/pseudogene)(SERPINA2)	Homo sapiens
CD99_HUMAN	CD99 molecule(CD99)	Homo sapiens
FAIM3_HUMAN	Fc fragment of IgM receptor(FCMR)	Homo sapiens
XPR1_HUMAN	xenotropic and polytropic retrovirus receptor 1(XPR1)	Homo sapiens
MGP_HUMAN	matrix Gla protein(MGP)	Homo sapiens
ARRC_HUMAN	arrestin 3(ARR3)	Homo sapiens
MIF_HUMAN	macrophage migration inhibitory factor (glycosylation-inhibiting factor)(MIF)	Homo sapiens
HIPK4_HUMAN	homeodomain interacting protein kinase 4(HIPK4)	Homo sapiens
DDX21_HUMAN	DExD-box helicase 21(DDX21)	Homo sapiens
MET_HUMAN	MET proto-oncogene, receptor tyrosine kinase(MET)	Homo sapiens
OSMR_HUMAN	oncostatin M receptor(OSMR)	Homo sapiens
ASGR2_HUMAN	asialoglycoprotein receptor 2(ASGR2)	Homo sapiens
PRAP1_HUMAN	proline rich acidic protein 1(PRAP1)	Homo sapiens
E2AK4_HUMAN	eukaryotic translation initiation factor 2 alpha kinase 4(EIF2AK4)	Homo sapiens
RL7L_HUMAN	ribosomal protein L7 like 1(RPL7L1)	Homo sapiens
