ID	Gene Name	Species
MDGA2_HUMAN	MAM domain containing glycosylphosphatidylinositol anchor 2(MDGA2)	Homo sapiens	
MANS1_HUMAN	MANSC domain containing 1(MANSC1)	Homo sapiens	
MAD1_HUMAN	MAX dimerization protein 1(MXD1)	Homo sapiens	
MF2L2_HUMAN	MCF.2 cell line derived transforming sequence-like 2(MCF2L2)	Homo sapiens	
MERTK_HUMAN	MER proto-oncogene, tyrosine kinase(MERTK)	Homo sapiens	
MICLK_HUMAN	MICAL C-terminal like(MICALCL)	Homo sapiens	
MYCB2_HUMAN	MYC binding protein 2, E3 ubiquitin protein ligase(MYCBP2)	Homo sapiens	
MINA_HUMAN	MYC induced nuclear antigen(MINA)	Homo sapiens	
MOV10_HUMAN	Mov10 RISC complex RNA helicase(MOV10)	Homo sapiens	
NAA16_HUMAN	N(alpha)-acetyltransferase 16, NatA auxiliary subunit(NAA16)	Homo sapiens	
NAA35_HUMAN	N(alpha)-acetyltransferase 35, NatC auxiliary subunit(NAA35)	Homo sapiens	
NALDL_HUMAN	N-acetylated alpha-linked acidic dipeptidase like 1(NAALADL1)	Homo sapiens	
NMT1_HUMAN	N-myristoyltransferase 1(NMT1)	Homo sapiens	
NCKP5_HUMAN	NCK associated protein 5(NCKAP5)	Homo sapiens	
N4BP1_HUMAN	NEDD4 binding protein 1(N4BP1)	Homo sapiens	
NIF3L_HUMAN	NGG1 interacting factor 3 like 1(NIF3L1)	Homo sapiens	
NEK3_HUMAN	NIMA related kinase 3(NEK3)	Homo sapiens	
NEK4_HUMAN	NIMA related kinase 4(NEK4)	Homo sapiens	
NIPBL_HUMAN	NIPBL, cohesin loading factor(NIPBL)	Homo sapiens	
NLRC3_HUMAN	NLR family CARD domain containing 3(NLRC3)	Homo sapiens	
NAL11_HUMAN	NLR family pyrin domain containing 11(NLRP11)	Homo sapiens	
NALP4_HUMAN	NLR family pyrin domain containing 4(NLRP4)	Homo sapiens	
NALP9_HUMAN	NLR family pyrin domain containing 9(NLRP9)	Homo sapiens	
NDK8_HUMAN	NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1(NME2P1)	Homo sapiens	
NOMO1_HUMAN	NODAL modulator 1(NOMO1)	Homo sapiens	
NOMO2_HUMAN	NODAL modulator 2(NOMO2)	Homo sapiens	
NOVA1_HUMAN	NOVA alternative splicing regulator 1(NOVA1)	Homo sapiens	
NUDC1_HUMAN	NudC domain containing 1(NUDCD1)	Homo sapiens	
NUDC2_HUMAN	NudC domain containing 2(NUDCD2)	Homo sapiens	
NUDC3_HUMAN	NudC domain containing 3(NUDCD3)	Homo sapiens	
OFD1_HUMAN	OFD1, centriole and centriolar satellite protein(OFD1)	Homo sapiens	
OTUD4_HUMAN	OTU deubiquitinase 4(OTUD4)	Homo sapiens	
PK1IP_HUMAN	PAK1 interacting protein 1(PAK1IP1)	Homo sapiens	
PACRL_HUMAN	PARK2 coregulated like(PACRGL)	Homo sapiens	
PDS5A_HUMAN	PDS5 cohesin associated factor A(PDS5A)	Homo sapiens	
PDS5B_HUMAN	PDS5 cohesin associated factor B(PDS5B)	Homo sapiens	
PDLI1_HUMAN	PDZ and LIM domain 1(PDLIM1)	Homo sapiens	
PHRF1_HUMAN	PHD and ring finger domains 1(PHRF1)	Homo sapiens	
PRAM_HUMAN	PML-RARA regulated adaptor molecule 1(PRAM1)	Homo sapiens	
P12LL_HUMAN	POM121 membrane glycoprotein (rat) pseudogene(LOC441081)	Homo sapiens	
POTEE_HUMAN	POTE ankyrin domain family member E(POTEE)	Homo sapiens	
POTEF_HUMAN	POTE ankyrin domain family member F(POTEF)	Homo sapiens	
ACTBM_HUMAN	POTE ankyrin domain family member K, pseudogene(POTEKP)	Homo sapiens	
PO3F4_HUMAN	POU class 3 homeobox 4(POU3F4)	Homo sapiens	
PRDM2_HUMAN	PR/SET domain 2(PRDM2)	Homo sapiens	
PRA18_HUMAN	PRAME family member 18(PRAMEF18)	Homo sapiens	
PRA19_HUMAN	PRAME family member 19(PRAMEF19)	Homo sapiens	
LIPA4_HUMAN	PTPRF interacting protein alpha 4(PPFIA4)	Homo sapiens	
PZP_HUMAN	PZP, alpha-2-macroglobulin like(PZP)	Homo sapiens	
